song_id,artists,name,release_date,year,popularity
42JpcqbKr2Zq55hoixtq34,ODESZA,I Want You,05/09/2012,2012,51
3PxesQpKxcxkZAyeo7yjFI,Rick Ross,100 Black Coffins,01/01/2012,2012,48
4T5SR1krNuVLOnxSjYb8nW,The Beach Boys,"Fun, Fun, Fun",01/01/2012,2012,52
2E8b9rCHCWNr0CrZSTVJCT,Lana Del Rey,Lucky Ones,12/11/2012,2012,49
7qLs0IyUn6TrqgMzQ33SdH,Miracle Musical,Introduction to the Snow,2012,2012,51
6rOVbgBB8YTpUrrSflSF2O,Balmorhea,Masollan,10/02/2012,2012,54
2JDWDQCzd0K9mI5GEaToA8,Colt Ford,Back (with Jake Owen),07/08/2012,2012,49
0u2AIKDVafHwCFQ9LDnqxH,Knife Party,Centipede,2012,2012,54
4mYjDXwOUL8sxWepdrnE6U,Cigarettes After Sex,Dreaming of You,21/07/2012,2012,49
0cBDCol7TFmvpT4A4YpxV3,Mumford & Sons,Below My Feet,25/09/2012,2012,49
3zl4HPDF1fCoTZnPjHgSsb,"Jonn Hart', 'French Montana",Who Booty (Remix) (feat. French Montana),10/12/2012,2012,49
7KDfz5EnLXiPVgSOUWwpre,MARINA,Starring Role,30/04/2012,2012,48
2PkUVjGspZ5goc98NuGv3v,The Young Professionals,Video Games,01/01/2012,2012,52
6wDNRITsP5tBCImheKBTgi,Selena,No Me Queda Más,01/01/2012,2012,55
74KqkyHbpneHF6JT8EwUOO,Vicentico,No Te Apartes de Mí,24/09/2012,2012,70
6uExMEig887UmyXoFqdyOW,Marcela Gandara,Tu Estas Aqui,01/05/2012,2012,59
6wRAXwjKkw95QEZnpcXWdk,Banda MS de Sergio Lizárraga,Pídeme Perdón,01/01/2012,2012,56
2PG26cmJdlT9xNAhdiHaaJ,John Maus,Bennington (2007),17/07/2012,2012,48
4kObJ9dvuwXYgigTX4yxnL,Nature Sounds,Serene Thunderstorm in the Distance,25/09/2012,2012,51
6LneorXqS0ZjqI94vskRAG,MARINA,Homewrecker,30/04/2012,2012,48
7BJny7nQN5bY4EeGVU3kj6,Title Fight,Head in the Ceiling Fan,18/09/2012,2012,49
5QcSDOm6mcvFDl7KBT1fHv,Hardwell,Spaceman - Carnage Festival Trap Remix,29/12/2012,2012,53
5ESV1XYWUki3hFOPRDcpOw,Dirty Heads,Driftin',03/09/2012,2012,48
5qnF4Ss6NHiUX45HryKEol,Hollywood Undead,Dead Bite,01/01/2012,2012,53
5lq6hpsabgw22xRYPHVV5c,Death Grips,The Fever (Aye Aye),23/04/2012,2012,52
7eW9cHOAHmYqphs5tWXETw,"Kanye West', 'JAY-Z', 'Big Sean",Clique,01/01/2012,2012,49
3p9x4bK5bwmgXE6POMvOp0,Passion Pit,Constant Conversations,23/07/2012,2012,51
5cDHV67TxLrdz4ITUVQswH,Alabama Shakes,Hang Loose,10/04/2012,2012,47
3S3dZXxNGghLtOqehzHtii,Whitney Houston,One Moment in Time,12/11/2012,2012,54
0tEqHOcQZm1m8prqqXYFSi,Melanie Martinez,Crazy - The Voice Performance,01/01/2012,2012,53
1nIDYHvLaZnD5lEf66SH80,Bella Thorne,TTYLXOX,01/01/2012,2012,48
5Irp7GSDmBquYrMkBw3fDE,"Jack Johnson', 'Jake Shimabukuro",Breakdown,01/01/2012,2012,48
